Angle_deg,Distance_px
0.0,693.0
1.0,693.0
2.0,695.0
3.0,695.0
4.0,697.0
5.0,698.0
6.0,700.0
7.0,701.0
8.0,704.0
9.0,706.0
10.0,709.0
11.0,712.0
12.0,715.0
13.0,719.0
14.0,722.0
15.0,726.0
16.0,729.0
17.0,734.0
18.0,738.0
19.0,744.0
20.0,748.0
21.0,754.0
22.0,761.0
23.0,766.0
24.0,773.0
25.0,779.0
26.0,787.0
27.0,795.0
28.0,803.0
29.0,811.0
30.0,820.0
31.0,830.0
32.0,839.0
33.0,849.0
34.0,860.0
35.0,872.0
36.0,884.0
37.0,897.0
38.0,910.0
39.0,924.0
40.0,939.0
41.0,954.0
42.0,971.0
43.0,986.0
44.0,1003.0
45.0,1020.0
46.0,1038.0
47.0,1058.0
48.0,1078.0
49.0,1101.0
50.0,1122.0
51.0,1146.0
52.0,1170.0
53.0,1194.0
54.0,1217.0
55.0,1240.0
56.0,1260.0
57.0,1277.0
58.0,1297.0
59.0,1323.0
60.0,1339.0
61.0,1356.0
62.0,1366.0
63.0,1382.0
64.0,1394.0
65.0,1407.0
66.0,1417.0
67.0,1432.0
68.0,1444.0
69.0,1452.0
70.0,1465.0
71.0,1474.0
72.0,1481.0
73.0,1485.0
74.0,1484.0
75.0,1493.0
76.0,1510.0
77.0,1529.0
78.0,1556.0
79.0,1596.0
80.0,1668.0
81.0,1806.0
82.0,1980.0
83.0,2261.0
84.0,2264.0
85.0,2260.0
86.0,2257.0
87.0,2254.0
88.0,2070.0
89.0,2066.0
90.0,2065.0
91.0,2075.0
92.0,2227.0
93.0,2254.0
94.0,2257.0
95.0,2260.0
96.0,2264.0
97.0,2242.0
98.0,1935.0
99.0,1766.0
100.0,1643.0
101.0,1587.0
102.0,1557.0
103.0,1534.0
104.0,1517.0
105.0,1504.0
106.0,1494.0
107.0,1489.0
108.0,1479.0
109.0,1474.0
110.0,1462.0
111.0,1450.0
112.0,1439.0
113.0,1428.0
114.0,1416.0
115.0,1403.0
116.0,1388.0
117.0,1374.0
118.0,1359.0
119.0,1345.0
120.0,1328.0
121.0,1311.0
122.0,1289.0
123.0,1273.0
124.0,1252.0
125.0,1231.0
126.0,1208.0
127.0,1185.0
128.0,1161.0
129.0,1138.0
130.0,1115.0
131.0,1093.0
132.0,1072.0
133.0,1051.0
134.0,1032.0
135.0,1014.0
136.0,997.0
137.0,980.0
138.0,965.0
139.0,949.0
140.0,933.0
141.0,920.0
142.0,906.0
143.0,894.0
144.0,881.0
145.0,870.0
146.0,859.0
147.0,848.0
148.0,838.0
149.0,828.0
150.0,819.0
151.0,811.0
152.0,802.0
153.0,793.0
154.0,786.0
155.0,779.0
156.0,773.0
157.0,766.0
158.0,759.0
159.0,754.0
160.0,748.0
161.0,743.0
162.0,738.0
163.0,733.0
164.0,729.0
165.0,726.0
166.0,720.0
167.0,717.0
168.0,713.0
169.0,711.0
170.0,708.0
171.0,706.0
172.0,703.0
173.0,701.0
174.0,699.0
175.0,697.0
176.0,696.0
177.0,695.0
178.0,694.0
179.0,693.0
180.0,692.0
181.0,692.0
182.0,692.0
183.0,692.0
184.0,693.0
185.0,692.0
186.0,694.0
187.0,695.0
188.0,696.0
189.0,696.0
190.0,698.0
191.0,701.0
192.0,702.0
193.0,704.0
194.0,707.0
195.0,709.0
