Angle_deg,Distance_px
0.0,698.0
1.0,698.0
2.0,699.0
3.0,699.0
4.0,700.0
5.0,700.0
6.0,701.0
7.0,705.0
8.0,705.0
9.0,707.0
10.0,710.0
11.0,712.0
12.0,715.0
13.0,718.0
14.0,721.0
15.0,725.0
16.0,729.0
17.0,732.0
18.0,736.0
19.0,741.0
20.0,746.0
21.0,752.0
22.0,758.0
23.0,764.0
24.0,771.0
25.0,777.0
26.0,785.0
27.0,792.0
28.0,800.0
29.0,808.0
30.0,817.0
31.0,827.0
32.0,835.0
33.0,845.0
34.0,856.0
35.0,867.0
36.0,878.0
37.0,890.0
38.0,905.0
39.0,918.0
40.0,933.0
41.0,948.0
42.0,966.0
43.0,981.0
44.0,997.0
45.0,1015.0
46.0,1034.0
47.0,1054.0
48.0,1074.0
49.0,1094.0
50.0,1116.0
51.0,1139.0
52.0,1162.0
53.0,1187.0
54.0,1212.0
55.0,1235.0
56.0,1258.0
57.0,1281.0
58.0,1305.0
59.0,1328.0
60.0,1349.0
61.0,1365.0
62.0,1388.0
63.0,1400.0
64.0,1417.0
65.0,1431.0
66.0,1442.0
67.0,1456.0
68.0,1465.0
69.0,1478.0
70.0,1491.0
71.0,1500.0
72.0,1512.0
73.0,1521.0
74.0,1521.0
75.0,1516.0
76.0,1520.0
77.0,1537.0
78.0,1562.0
79.0,1592.0
80.0,1639.0
81.0,1725.0
82.0,1946.0
83.0,2270.0
84.0,2299.0
85.0,2295.0
86.0,2292.0
87.0,2289.0
88.0,2288.0
89.0,2287.0
90.0,2286.0
91.0,2287.0
92.0,2288.0
93.0,2289.0
94.0,2292.0
95.0,2295.0
96.0,2299.0
97.0,2265.0
98.0,1962.0
99.0,1790.0
100.0,1659.0
101.0,1612.0
102.0,1578.0
103.0,1552.0
104.0,1535.0
105.0,1522.0
106.0,1516.0
107.0,1509.0
108.0,1506.0
109.0,1501.0
110.0,1495.0
111.0,1482.0
112.0,1461.0
113.0,1453.0
114.0,1443.0
115.0,1430.0
116.0,1414.0
117.0,1396.0
118.0,1382.0
119.0,1368.0
120.0,1351.0
121.0,1334.0
122.0,1315.0
123.0,1296.0
124.0,1275.0
125.0,1253.0
126.0,1230.0
127.0,1206.0
128.0,1181.0
129.0,1155.0
130.0,1131.0
131.0,1108.0
132.0,1086.0
133.0,1066.0
134.0,1046.0
135.0,1028.0
136.0,1010.0
137.0,992.0
138.0,977.0
139.0,960.0
140.0,945.0
141.0,931.0
142.0,917.0
143.0,904.0
144.0,891.0
145.0,879.0
146.0,867.0
147.0,857.0
148.0,846.0
149.0,836.0
150.0,828.0
151.0,818.0
152.0,809.0
153.0,802.0
154.0,794.0
155.0,787.0
156.0,780.0
157.0,773.0
158.0,768.0
159.0,761.0
160.0,756.0
161.0,751.0
162.0,745.0
163.0,741.0
164.0,737.0
165.0,733.0
166.0,729.0
167.0,725.0
168.0,721.0
169.0,719.0
170.0,717.0
171.0,713.0
172.0,712.0
173.0,709.0
174.0,707.0
175.0,706.0
