Angle_deg,Distance_px
0.0,697.0
1.0,697.0
2.0,698.0
3.0,699.0
4.0,700.0
5.0,702.0
6.0,703.0
7.0,704.0
8.0,707.0
9.0,709.0
10.0,711.0
11.0,714.0
12.0,717.0
13.0,719.0
14.0,723.0
15.0,727.0
16.0,730.0
17.0,735.0
18.0,739.0
19.0,744.0
20.0,749.0
21.0,754.0
22.0,760.0
23.0,766.0
24.0,773.0
25.0,779.0
26.0,786.0
27.0,794.0
28.0,801.0
29.0,808.0
30.0,818.0
31.0,826.0
32.0,836.0
33.0,846.0
34.0,855.0
35.0,866.0
36.0,878.0
37.0,890.0
38.0,902.0
39.0,916.0
40.0,931.0
41.0,945.0
42.0,960.0
43.0,975.0
44.0,991.0
45.0,1009.0
46.0,1027.0
47.0,1046.0
48.0,1064.0
49.0,1086.0
50.0,1106.0
51.0,1130.0
52.0,1154.0
53.0,1178.0
54.0,1202.0
55.0,1224.0
56.0,1245.0
57.0,1266.0
58.0,1289.0
59.0,1307.0
60.0,1321.0
61.0,1343.0
62.0,1354.0
63.0,1369.0
64.0,1384.0
65.0,1397.0
66.0,1411.0
67.0,1426.0
68.0,1438.0
69.0,1445.0
70.0,1458.0
71.0,1469.0
72.0,1477.0
73.0,1486.0
74.0,1484.0
75.0,1488.0
76.0,1498.0
77.0,1516.0
78.0,1537.0
79.0,1568.0
80.0,1609.0
81.0,1697.0
82.0,1857.0
83.0,2160.0
84.0,2272.0
85.0,2268.0
86.0,2265.0
87.0,2263.0
88.0,2261.0
89.0,2260.0
90.0,2260.0
91.0,2260.0
92.0,2261.0
93.0,2263.0
94.0,2265.0
95.0,2268.0
96.0,2272.0
97.0,2277.0
98.0,2233.0
99.0,1895.0
100.0,1770.0
101.0,1630.0
102.0,1579.0
103.0,1552.0
104.0,1531.0
105.0,1519.0
106.0,1503.0
107.0,1498.0
108.0,1492.0
109.0,1478.0
110.0,1472.0
111.0,1462.0
112.0,1451.0
113.0,1441.0
114.0,1431.0
115.0,1418.0
116.0,1406.0
117.0,1393.0
118.0,1379.0
119.0,1365.0
120.0,1350.0
121.0,1333.0
122.0,1316.0
123.0,1298.0
124.0,1281.0
125.0,1260.0
126.0,1239.0
127.0,1217.0
128.0,1194.0
129.0,1171.0
130.0,1148.0
131.0,1125.0
132.0,1103.0
133.0,1082.0
134.0,1063.0
135.0,1042.0
136.0,1025.0
137.0,1006.0
138.0,991.0
139.0,974.0
140.0,958.0
141.0,945.0
142.0,930.0
143.0,917.0
144.0,904.0
145.0,891.0
146.0,879.0
147.0,868.0
148.0,858.0
149.0,847.0
150.0,838.0
151.0,829.0
152.0,820.0
153.0,813.0
154.0,804.0
155.0,797.0
156.0,789.0
157.0,782.0
158.0,775.0
159.0,770.0
160.0,764.0
161.0,758.0
162.0,754.0
163.0,749.0
164.0,745.0
165.0,740.0
166.0,736.0
167.0,733.0
168.0,729.0
169.0,725.0
170.0,723.0
171.0,720.0
172.0,717.0
173.0,715.0
174.0,714.0
175.0,712.0
176.0,710.0
177.0,709.0
178.0,707.0
179.0,707.0
180.0,706.0
181.0,706.0
182.0,705.0
183.0,706.0
184.0,706.0
185.0,707.0
186.0,707.0
187.0,708.0
188.0,710.0
189.0,712.0
190.0,713.0
191.0,715.0
192.0,717.0
193.0,718.0
194.0,720.0
195.0,724.0
196.0,726.0
197.0,729.0
198.0,732.0
199.0,736.0
200.0,740.0
201.0,744.0
202.0,750.0
203.0,754.0
204.0,760.0
205.0,765.0
206.0,771.0
207.0,778.0
208.0,785.0
209.0,791.0
210.0,799.0
211.0,806.0
212.0,814.0
213.0,823.0
214.0,831.0
215.0,840.0
216.0,849.0
217.0,859.0
218.0,869.0
219.0,880.0
220.0,892.0
221.0,904.0
222.0,918.0
223.0,931.0
224.0,945.0
225.0,959.0
226.0,975.0
227.0,993.0
228.0,1010.0
229.0,1029.0
230.0,1049.0
231.0,1070.0
232.0,1092.0
233.0,1115.0
234.0,1140.0
235.0,1167.0
236.0,1628.0
237.0,1671.0
238.0,1718.0
239.0,1767.0
240.0,1766.0
241.0,1752.0
242.0,1739.0
243.0,1740.0
244.0,1755.0
245.0,1792.0
246.0,1767.0
247.0,1756.0
