Angle_deg,Distance_px
0.0,689.0
1.0,690.0
2.0,690.0
3.0,690.0
4.0,691.0
5.0,693.0
6.0,694.0
7.0,696.0
8.0,697.0
9.0,700.0
10.0,702.0
11.0,705.0
12.0,708.0
13.0,711.0
14.0,715.0
15.0,718.0
16.0,723.0
17.0,726.0
18.0,730.0
19.0,736.0
20.0,740.0
21.0,746.0
22.0,751.0
23.0,757.0
24.0,764.0
25.0,770.0
26.0,777.0
27.0,784.0
28.0,792.0
29.0,801.0
30.0,809.0
31.0,818.0
32.0,828.0
33.0,838.0
34.0,849.0
35.0,860.0
36.0,871.0
37.0,884.0
38.0,897.0
39.0,911.0
40.0,924.0
41.0,939.0
42.0,955.0
43.0,970.0
44.0,987.0
45.0,1004.0
46.0,1022.0
47.0,1041.0
48.0,1061.0
49.0,1080.0
50.0,1103.0
51.0,1126.0
52.0,1149.0
53.0,1174.0
54.0,1199.0
55.0,1222.0
56.0,1244.0
57.0,1266.0
58.0,1286.0
59.0,1302.0
60.0,1324.0
61.0,1340.0
62.0,1360.0
63.0,1378.0
64.0,1392.0
65.0,1410.0
66.0,1421.0
67.0,1435.0
68.0,1446.0
69.0,1456.0
70.0,1470.0
71.0,1478.0
72.0,1491.0
73.0,1502.0
74.0,1509.0
75.0,1508.0
76.0,1511.0
77.0,1524.0
78.0,1542.0
79.0,1567.0
80.0,1601.0
81.0,1673.0
82.0,1817.0
83.0,2100.0
84.0,2279.0
85.0,2275.0
86.0,2272.0
87.0,2270.0
88.0,2268.0
89.0,2267.0
90.0,2267.0
91.0,2267.0
92.0,2268.0
93.0,2270.0
94.0,2272.0
95.0,2275.0
96.0,2279.0
97.0,2284.0
98.0,2243.0
99.0,1897.0
100.0,1721.0
101.0,1620.0
102.0,1577.0
103.0,1544.0
104.0,1523.0
105.0,1512.0
106.0,1501.0
107.0,1490.0
108.0,1484.0
109.0,1480.0
110.0,1475.0
111.0,1476.0
112.0,1460.0
113.0,1444.0
114.0,1434.0
115.0,1419.0
116.0,1409.0
117.0,1401.0
118.0,1382.0
119.0,1372.0
120.0,1351.0
121.0,1334.0
122.0,1318.0
123.0,1300.0
124.0,1280.0
125.0,1260.0
126.0,1238.0
127.0,1216.0
128.0,1192.0
129.0,1167.0
130.0,1144.0
131.0,1123.0
132.0,1101.0
133.0,1080.0
134.0,1060.0
135.0,1040.0
136.0,1023.0
137.0,1006.0
138.0,989.0
139.0,972.0
140.0,958.0
141.0,943.0
142.0,928.0
143.0,915.0
144.0,902.0
145.0,891.0
146.0,878.0
147.0,866.0
148.0,856.0
149.0,846.0
150.0,838.0
151.0,830.0
152.0,821.0
153.0,811.0
154.0,804.0
155.0,796.0
156.0,790.0
157.0,783.0
158.0,776.0
159.0,770.0
160.0,765.0
161.0,759.0
162.0,754.0
163.0,749.0
164.0,745.0
165.0,742.0
166.0,737.0
167.0,733.0
168.0,725.0
169.0,722.0
170.0,719.0
171.0,720.0
172.0,719.0
173.0,719.0
174.0,717.0
175.0,716.0
176.0,715.0
177.0,714.0
178.0,712.0
179.0,710.0
180.0,709.0
181.0,710.0
182.0,710.0
183.0,712.0
184.0,712.0
185.0,713.0
186.0,712.0
187.0,714.0
188.0,714.0
189.0,716.0
190.0,719.0
191.0,721.0
192.0,721.0
193.0,724.0
194.0,727.0
195.0,729.0
196.0,732.0
197.0,734.0
198.0,737.0
199.0,740.0
200.0,743.0
201.0,748.0
202.0,753.0
203.0,759.0
204.0,764.0
205.0,770.0
206.0,776.0
207.0,781.0
208.0,788.0
209.0,794.0
210.0,800.0
211.0,806.0
212.0,814.0
213.0,826.0
214.0,834.0
215.0,843.0
216.0,852.0
217.0,858.0
218.0,866.0
219.0,878.0
220.0,896.0
221.0,906.0
222.0,915.0
223.0,931.0
224.0,948.0
225.0,964.0
226.0,978.0
227.0,995.0
228.0,1014.0
229.0,1028.0
230.0,1048.0
231.0,1064.0
232.0,1088.0
233.0,1116.0
234.0,1640.0
235.0,1680.0
236.0,1723.0
237.0,1769.0
238.0,1783.0
239.0,1769.0
240.0,1752.0
241.0,1731.0
242.0,1697.0
243.0,1680.0
244.0,1671.0
245.0,1666.0
246.0,1674.0
247.0,1699.0
248.0,1706.0
249.0,1704.0
250.0,1716.0
251.0,1751.0
252.0,1711.0
253.0,1697.0
254.0,1698.0
255.0,1694.0
256.0,1682.0
257.0,1681.0
258.0,1692.0
259.0,1695.0
260.0,1713.0
261.0,1856.0
262.0,1851.0
263.0,1847.0
264.0,1843.0
265.0,1840.0
266.0,1838.0
267.0,1836.0
268.0,1834.0
269.0,1833.0
270.0,1833.0
271.0,1833.0
272.0,1834.0
273.0,1836.0
274.0,1713.0
275.0,1702.0
276.0,1702.0
277.0,1847.0
278.0,1851.0
279.0,1856.0
280.0,1861.0
281.0,1868.0
282.0,1874.0
283.0,1881.0
284.0,1889.0
285.0,1898.0
286.0,1907.0
287.0,1917.0
288.0,1928.0
289.0,1939.0
290.0,1951.0
291.0,1964.0
292.0,1977.0
293.0,1992.0
294.0,2007.0
295.0,1968.0
296.0,1897.0
297.0,1832.0
298.0,1772.0
299.0,1716.0
300.0,1664.0
301.0,1615.0
302.0,1570.0
303.0,1222.0
304.0,1191.0
305.0,1162.0
306.0,1136.0
307.0,1109.0
308.0,1086.0
309.0,1064.0
310.0,1042.0
311.0,1022.0
312.0,1002.0
313.0,985.0
314.0,967.0
315.0,951.0
316.0,936.0
317.0,921.0
318.0,908.0
319.0,894.0
320.0,882.0
321.0,869.0
322.0,858.0
323.0,847.0
324.0,838.0
325.0,827.0
326.0,817.0
327.0,809.0
328.0,800.0
329.0,793.0
330.0,785.0
331.0,777.0
332.0,771.0
333.0,764.0
334.0,758.0
335.0,752.0
336.0,746.0
337.0,741.0
338.0,736.0
339.0,731.0
340.0,726.0
341.0,723.0
342.0,719.0
343.0,715.0
344.0,711.0
345.0,709.0
346.0,707.0
347.0,704.0
348.0,701.0
349.0,698.0
350.0,696.0
351.0,695.0
352.0,693.0
353.0,693.0
354.0,691.0
355.0,690.0
356.0,689.0
357.0,688.0
358.0,689.0
359.0,689.0
